disasterNumber,incidentType,state,county,city,zipCode,validRegistrations,averageFemaInspectedDamage,totalInspected,totalDamage,noFemaInspectedDamage,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,approvedForFemaAssistance,totalApprovedIhpAmount,repairReplaceAmount,rentalAmount,otherNeedsAmount,approvedBetween1And10000,approvedBetween10001And25000,approvedBetween25001AndMax,totalMaxGrants,hash,lastRefresh
1935,Severe Storm(s),IL,Cook (County),CHICAGOI,60652,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0ff7188cad177e06b9211ce67ac254e1,2014-11-20T15:20:20 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICGAGO,60618,1,1406,1,1406,0,1,0,0,0,1,1172,972,0,200,1,0,0,0,8d6adf07f0bd7d2f918f0d271b2c23b7,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CICERO,60402,1,2722,1,2722,0,1,0,0,0,1,2582,2123,0,459,1,0,0,0,f9bc16519bbcf7d648022d6f545b791d,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),COUNTRYSIDE,60525,25,3133,24,75183,5,17,2,0,0,17,53406,47157,5283,966,16,1,0,0,2605671574067d782fa295eff6a5724f,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),DOLTON ,60419,1,9451,1,9451,0,1,0,0,0,1,10429,7949,2480,0,0,1,0,0,23a2f46213a767e689d42633a0de8b4a,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),EVANSTON,60202,22,1904,22,41898,2,20,0,0,0,19,40956,34272,6096,589,19,0,0,0,e0eaf19e07e94fb855196f8ed00d6b3e,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),FRANKFORT,60423,1,2300,1,2300,0,1,0,0,0,1,770,770,0,0,1,0,0,0,d478b317202df361f080a373dd01227c,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),HARVEY,60426,1,2230,954,2127420,87,856,8,0,3,665,2216132,1612034,423087,181012,630,31,4,4,7e11e1d39426c1667016eb8e830152f4,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),HINSDALE,60521,2,3254,2,6508,0,2,0,0,0,2,5993,5534,0,459,2,0,0,0,edb55858a8a20aa42c07786ed5571a4a,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),LAGRANGE,60525,4,1164,4,4655,2,2,0,0,0,2,4655,4655,0,0,2,0,0,0,9348fdb78bcdc17c7092102acec910b8,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),LYNWOOD,60411,248,2334,241,562489,19,219,3,0,0,185,743456,450366,276067,17022,170,11,4,2,fcf499414d69a2f03f827df7b3c41700,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),MAYWOOD,60513,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,bea6dd228cebb41612b38667af22e701,2014-11-20T15:20:20 +00:00
1935,Severe Storm(s),IL,Cook (County),MERRINOTTE PARK,60803,1,3508,1,3508,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3206434a4acbabfafcf4fdb0f599b078,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),NORTH LAKE,60164,1,1545,1,1545,0,1,0,0,0,1,3575,1250,2030,294,1,0,0,0,506819644709e30103e3e6cd3229eb3c,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),OLYMPIA FIELDS,60461,178,2121,175,371126,15,158,2,0,0,130,406950,303075,96887,6988,126,4,0,0,edc0e9049072ec1c76960b6c8a72125f,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),PARK FOREST,60466,340,1721,322,554107,29,290,3,0,0,222,601275,455581,126880,18813,213,7,2,1,4b8fa34fec979fdbc43edee2d662e456,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),RICHTON PARK,60475,1,1001,1,1001,0,1,0,0,0,1,1001,1001,0,0,1,0,0,0,d53bea796b69c22a6178decba5f6d653,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),ROSELLE,60172,7,4095,7,28662,2,5,0,0,0,4,26868,25750,0,1118,4,0,0,0,617a5c66709a124b946fc173def4859e,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),ALSIP,60803,93,2094,90,188428,8,82,0,0,0,62,170254,145382,21112,3760,61,1,0,0,a6e4914aa69f0270ee250ee67371bb20,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),BRAODVIEW,60155,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,a78324609c33539cdc05ad907966a537,2014-11-20T15:20:20 +00:00
1935,Severe Storm(s),IL,Cook (County),BELLLWOOD,60104,2,5210,2,10420,0,2,0,0,0,2,6052,5852,0,200,2,0,0,0,77020d7596745f7011d6d3679fce5247,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CALUMET CITY,60409,1,2458,1303,3202754,110,1,19,1,0,1002,3802721,2550536,1021054,231131,944,48,10,4,0ef2b9443f475c67d5463f2175c9f76d,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CGICAGO,60628,1,1837,1,1837,0,1,0,0,0,1,1837,1837,0,0,1,0,0,0,6e9d073e537f9f265cceb21d238cccbe,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHGO,60632,1,4378,1,4378,0,1,0,0,0,1,3024,3024,0,0,1,0,0,0,a6d6ab7f4b737a0d52a81465b14025c2,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAAGO,60619,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38e73063f6880829f29d2dbb67a5861c,2014-11-20T15:20:20 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGIO,60651,1,393,1,393,0,1,0,0,0,0,0,0,0,0,0,0,0,0,146d2adf227ae7511e40d71db7099574,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60605,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,82dfb5822fa9e1af25008e75a594ac02,2014-11-20T15:20:20 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60615,194,2005,178,356857,13,163,2,0,0,119,311799,268959,33034,9806,117,2,0,0,354f0eaf2f44a504da5112f21a222f7b,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60625,28,3348,26,87044,3,21,2,0,0,22,73507,64475,8122,910,20,2,0,0,1bbc4f67c8db2f81e00ff193890a87e9,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60647,346,3053,308,940346,33,258,12,3,2,257,850981,747077,33026,70878,241,14,2,1,48e5dde2d64b789ef0b3731f37ac0ff0,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60637,650,2473,601,1486089,42,542,17,0,0,512,1698393,1213336,366946,118111,482,24,6,6,c6be9f0ed399c4ef31882c84a4f24a87,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60660,3,1932,3,5795,0,3,0,0,0,3,5880,4927,0,953,3,0,0,0,87803620275138c70882685d56614aa5,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,66017,1,1769,1,1769,0,1,0,0,0,1,2116,1882,0,234,1,0,0,0,5444db92af4b709a693c97c75b9307c7,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGOP,60652,1,2632,1,2632,0,1,0,0,0,1,2124,1780,0,344,1,0,0,0,f438ae33f0495cecd8120729a0c6fad3,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CICERO,60604,1,5498,1,5498,0,1,0,0,0,1,5498,5203,0,294,1,0,0,0,b5d252077ef704b7d49cc62889d10ed9,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CRETE,60417,4,2370,4,9481,1,3,0,0,0,3,13484,7535,5290,659,3,0,0,0,8a672a358bc4766ba9adb630dfdf5776,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),ELGIN,60120,7,2513,7,17591,2,4,1,0,0,3,11945,10162,0,1784,3,0,0,0,e39ac063071ef88e91b4aa14ef841059,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICGO,60620,1,1734,1,1734,0,1,0,0,0,1,1734,1734,0,0,1,0,0,0,fbd257826586348ab6f494aebad77d70,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),EVERGREEN,60805,1,2228,1,2228,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40d1f794b2bfbd934761f624842ea873,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),GHICAGO,60619,1,2300,1,2300,0,1,0,0,0,1,2300,1833,0,467,1,0,0,0,75d9fbc3a7c1f4e934d7c723446a0166,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),HARWOOD HEIGHTS,60706,17,2396,17,40737,1,16,0,0,0,16,32648,32648,0,0,16,0,0,0,84d72812ffca95bb50532c476a60a883,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),HOFFMAN ESTATES,60169,8,646,8,5170,3,5,0,0,0,3,1811,1811,0,0,3,0,0,0,94d11654f6e38c1ef55dd398879143a1,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),LA GRANGE PARK,60526,107,2950,102,300875,6,94,1,1,0,89,276502,263369,6642,6492,87,1,1,1,830c14fd97ba19f322a558c24dde9cc1,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),LYONS,60513,1,5521,1,5521,0,1,0,0,0,0,0,0,0,0,0,0,0,0,227a98a51031b45cc0737d01137bbbd0,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),MAYWWOD,60153,1,2276,1,2276,0,1,0,0,0,1,2276,1817,0,459,1,0,0,0,394076c30061139c9fbff059a47bd547,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),MIDLOTHIAN,60445,59,2630,58,152532,9,47,2,0,0,39,128829,118623,5256,4950,38,1,0,0,a3db6d91e953e2ac80a659ab37cab08a,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),NORTH RIVERSIDE,60546,240,3307,228,753897,4,220,4,0,0,211,707082,596186,78808,32088,206,5,0,0,04573703bdab027c4dfa447c1868c976,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),ORLAND HILLS,60487,8,4293,8,34341,1,6,1,0,0,6,30017,30017,0,0,5,1,0,0,bacdc4bc9d6d63d79c338f043e2a0dd8,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),PARKFOREST,60466,1,765,1,765,0,1,0,0,0,1,765,765,0,0,1,0,0,0,45778ec16a6217785283e1c816588e2a,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),RIVERDALDE,60827,1,1219,1,1219,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16d316053b95a944e89d77f616841906,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),BARTLETT,60103,7,1053,7,7368,1,6,0,0,0,4,6931,5125,1806,0,4,0,0,0,afb1b629ce584a749011d645952292b7,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),BERWYN,60402,1,2324,1447,3363246,93,1,21,1,0,1214,3121670,2757265,156462,207944,1,18,1,1,b706c61d9cc6078892951e6e7ef1eb06,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CALUMET PK,60827,1,1801,1,1801,0,1,0,0,0,1,1801,1801,0,0,1,0,0,0,d90cf0b1f8b4a583201cf610b6aad659,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),BURNHAM ,60633,1,925,1,925,0,1,0,0,0,1,925,925,0,0,1,0,0,0,5673de2a5211931ea825dc483348b181,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHGO,60621,1,399,1,399,0,1,0,0,0,1,399,399,0,0,1,0,0,0,b5763633e69f93a50510dc8084489553,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHIAGO,60620,1,6458,1,6458,0,1,0,0,0,1,6458,5869,0,589,1,0,0,0,9bf929d9cc052e217f7eb5ddae6c970f,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGGO,60652,1,3099,1,3099,0,1,0,0,0,1,2220,2220,0,0,1,0,0,0,3b764d2db44aed6b02d2ef3915068eaa,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60411,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,809271ec3764aacf17bee8e41ec2db7e,2014-11-20T15:20:20 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60612,371,2401,334,802064,25,299,9,0,1,261,895057,656818,178251,59989,243,15,3,2,01fd413f87af8a17b9d17518e80ea709,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60622,91,2413,81,195416,15,62,4,0,0,50,174385,157354,8122,8909,46,4,0,0,e7afedd5f4987ef55156ffe20cebe702,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60644,1,2965,1822,5402637,108,1,40,15,0,1618,5884551,4574533,701379,608639,1,84,14,6,363847740bc462f4f15a318f6683c774,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60633,119,1768,110,194430,8,101,1,0,0,85,191045,162815,22082,6149,84,1,0,0,bc6f42ee2bbd8c3f0804f18790719328,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60656,43,1306,42,54863,9,33,0,0,0,30,57867,42499,15368,0,29,1,0,0,98775376bcf6de4c1a280aa5d849b3c6,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60804,2,1562,2,3123,1,1,0,0,0,1,4534,4534,0,0,1,0,0,0,ae57cbe2aa09f7649257b0e06bcaf0ea,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGOI,60643,1,6730,1,6730,0,1,0,0,0,1,9210,6730,2480,0,1,0,0,0,25a137240eac5ccf205df1990e1d405b,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CICERO,60304,1,3080,1,3080,0,1,0,0,0,1,3080,3080,0,0,1,0,0,0,8a2e96b37148e8c454927ce7633f5ec9,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICATO,60643,1,590,1,590,0,1,0,0,0,1,590,590,0,0,1,0,0,0,69f507bbbf1ef1159f1c6713cb65a281,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),COUNTRYCLUB HILLS,60478,1,2634,1,2634,0,1,0,0,0,1,2346,2346,0,0,1,0,0,0,569457549219504906ab4f95cfeafb36,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),DOLTON,60649,1,314,1,314,0,1,0,0,0,1,314,0,0,314,1,0,0,0,92e6719da03a6e4bd496b78d1c933861,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),EVANSTON,60201,42,1405,40,56205,5,35,0,0,0,32,59942,50471,8578,893,32,0,0,0,4af3a10e2e5e71d691bee4b09f665082,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),FOREST VIEW,60402,25,3527,25,88183,0,25,0,0,0,24,79218,68296,5254,5668,24,0,0,0,26a922bd76e1e446d1234816faca7516,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),HARVE,60426,1,2689,1,2689,0,1,0,0,0,1,2689,1875,0,814,1,0,0,0,6e5acc1089795cb592782ea4f3dc6d55,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),HILLSIDE,60162,635,3303,604,1994975,51,514,32,6,1,468,1941990,1581747,214115,146129,430,30,8,3,42ebbb276c2f0bfde5c8bf83d502a068,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),LOMBARD,60402,1,17553,1,17553,0,0,1,0,0,1,17553,10924,0,6630,0,1,0,0,05a1599a42f29cf050b6ba4953f4073d,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),LA GRANGE,60525,116,3507,113,396331,6,101,3,3,0,98,335574,317896,8796,8882,93,4,1,0,e5729836b8ed5acdac949799b77bc788,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),OAK PARK,60304,114,2242,112,251127,8,103,0,0,1,93,231108,173780,44268,13060,90,3,0,0,627aaf537014ff278ca7ac6491a86d6d,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),MAYWOOD,60155,1,3294,1,3294,0,1,0,0,0,1,4515,3822,0,693,1,0,0,0,eb154f23c72ea822489e60890d5482a2,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),MELRROSE PARK,60160,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6d4457312313e067de77353cd4134422,2014-11-20T15:20:20 +00:00
1935,Severe Storm(s),IL,Cook (County),PALOS PARK,60464,8,3500,8,28002,0,7,1,0,0,8,26873,26180,0,693,7,1,0,0,f83f3de35ff2aad9c7816b4537ab3e0e,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),NORTHBROOK,60062,4,1935,4,7740,0,4,0,0,0,3,33848,11060,22563,225,2,0,1,0,fa80b3fbe37f5a637648f1259124faa7,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),RICHTON PARK,60471,348,2337,332,775837,57,269,6,0,0,215,1029135,649003,335179,44953,195,17,3,1,65e4e8ed3ce226448ceb2437873be0f9,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),ROLLING MEADOWS,60008,4,1850,4,7400,1,3,0,0,0,3,6277,6277,0,0,3,0,0,0,deb2db15b91671b20f5e2f85ceed623c,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),ADDISON,60101,2,3392,2,6785,0,2,0,0,0,2,9269,6334,2484,450,2,0,0,0,e958fa801afc68d01794749e46b6bca3,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),BEDFORD PARK,60501,4,3233,4,12934,0,4,0,0,0,4,10998,10080,0,918,4,0,0,0,191ee1bba0bd44f5db04ffce6040fbe8,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),BOLINGBROOK,60490,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6aadfe8b1050abcddd2d8980734c9b9c,2014-11-20T15:20:20 +00:00
1935,Severe Storm(s),IL,Cook (County),CALUMET,60409,5,1713,5,8564,0,5,0,0,0,4,6881,6881,0,0,4,0,0,0,5573507bdbff1f6fdb5586c61f8154f9,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CENTRAL STICKNEY,60638,1,8015,1,8015,0,1,0,0,0,1,6185,5985,0,200,1,0,0,0,c7bda593a8a0205af670928ce48ff215,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHGO,60630,1,1384,1,1384,0,1,0,0,0,1,1384,1384,0,0,1,0,0,0,9743301c6a2727a75de5b1f6ca17ae24,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHIAGO,60638,1,412,1,412,0,1,0,0,0,1,412,412,0,0,1,0,0,0,03b8b561fe057fce46237d00ad35ca9d,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGI,60643,2,3106,2,6213,0,2,0,0,0,2,3347,3347,0,0,2,0,0,0,1b53009b48572766506ff61c6c0ab758,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60604,2,2380,2,4761,0,2,0,0,0,2,4079,4079,0,0,2,0,0,0,18200ffd9c3121fc029333bd79a995be,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60614,15,2557,15,38350,4,10,1,0,0,9,30090,28461,0,1629,8,1,0,0,7cb11f138cbe612e54fb86f453599ca9,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60624,1,2692,1110,2988109,98,976,34,2,0,926,3125492,2479867,360818,284807,874,48,4,1,7e7214a17679763a02780f786f0ab598,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60646,48,1872,48,89841,2,46,0,0,0,43,99131,83793,14220,1118,43,0,0,0,044586cdf9707721d797fedaffadacf1,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60636,2,2315,2533,5862857,173,2,31,1,0,2222,6607883,4986781,1071624,546783,2,55,9,2,121db65472bf25356c9232f320f64de8,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60659,20,3056,20,61116,5,14,1,0,0,15,54016,51068,2030,918,14,1,0,0,3df9aefbf7595f41fc2941a474f8b95e,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO,60827,60,3046,59,179694,4,53,2,0,0,46,215759,148346,55498,11914,42,3,1,0,ddec9be9038c0bbb900b3eedd6abe084,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICAGO IL,60620,1,511,1,511,0,1,0,0,0,1,511,511,0,0,1,0,0,0,cc4312510246745cb2561e78a73a6df2,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CHICGAO,60623,1,3180,1,3180,0,1,0,0,0,1,6904,5671,0,1232,1,0,0,0,b5778c63b9b19adf288c014a67f11204,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CICERO,60404,1,3825,1,3825,0,1,0,0,0,1,5076,2596,2480,0,1,0,0,0,4b1cc0aacc902a0eb2547d37b724291d,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),CRESTWOOD,60445,29,2703,26,70286,2,24,0,0,0,21,66218,63892,2032,294,21,0,0,0,239ecdd8e1618010b2dd784e507187c6,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),EAST HAZELCREST,60429,2,2702,2,5404,0,2,0,0,0,2,4553,4094,0,459,2,0,0,0,670a07653e8689d13c69153c6bce8403,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),EVANSTON,60203,3,2952,3,8856,1,2,0,0,0,2,7916,7716,0,200,2,0,0,0,ca21ba9b632b1ba3f67b5ad7f31e5361,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),FRANKLIN PARK,60131,102,2470,98,242040,2,95,1,0,0,81,187373,163663,9710,14000,80,1,0,0,8c80f47b3ffabecdf2ac426d27ff6a19,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),HARVEY,60428,4,4252,4,17007,2,2,0,0,0,2,17682,14038,1808,1836,2,0,0,0,05613f5717726e8042a84c0d4a288e05,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),HODGKINS,60525,3,2821,3,8463,0,3,0,0,0,3,7403,6883,0,520,3,0,0,0,39a108361c8430bde809f1c289e07cfd,2014-12-12T01:20:24 +00:00
1935,Severe Storm(s),IL,Cook (County),MERRIONETTE PARK,60803,13,2878,13,37418,3,9,1,0,0,7,37927,31123,5080,1724,6,1,0,0,490a19773f1b9e666d303aff6f14d29b,2014-12-12T01:20:24 +00:00
