disasterNumber,incidentType,state,county,city,zipCode,totalValidRegistrations,validCallCenterRegistrations,validWebRegistrations,validMobileRegistrations,ihpReferrals,ihpEligible,ihpAmount,haReferrals,haEligible,haAmount,onaReferrals,onaEligible,onaAmount,hash,lastRefresh
4116,Flood,IL,Cook (County),HARWOOD HTS,60706,5,0,5,0,5,4,11143.01,5,4,11143.01,4,0,0,2685029de397f9fce8b8d40b5b27912c,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),FRANKLIN PARK,60131,204,69,123,12,195,132,266225.75,188,121,233157.99,131,32,33067.76,84b92f6156e1622e1085fa5ff70b9c04,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),HOMEWOOD,60430,317,137,172,8,304,212,590669.19,299,199,555418.01,223,44,35251.18,ebafce65eb9712daa09c5b81820b0330,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),LANSING,60438,558,279,246,33,538,347,970645.25,511,298,852374.89,429,120,118270.36,17bdbb0790b0cbce8e8e0a855541d3b5,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),MAYWOOD,60155,1,1,0,0,1,1,265,1,0,0,1,1,265,1f9b78e1eab7348b401f73728410ff83,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),NORRIDGE,60706,122,29,87,6,115,91,165185.7,113,87,155693.49,87,15,9492.21,70123bab5caf6683c3f7c3e0240ba2ba,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),OAK PARK,60304,67,22,41,4,63,42,73018.79,62,40,62640.02,45,10,10378.77,cd6da95771508fd5cf942abef7fff0e5,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),PALOS PARK,60464,4,3,1,0,4,3,3914.64,4,3,3914.64,2,0,0,585dfb51c0448636fc55e35b4b5493ad,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),RIVER GROVE,60171,214,69,134,11,199,155,353340.53,194,148,327014.47,141,32,26326.06,9bdce21e324569ecc059df640f97ece2,2015-03-02T19:03:16 +00:00
4116,Flood,IL,Cook (County),SCHAUMBURG,60195,1,0,1,0,1,1,783.98,1,1,783.98,1,0,0,10a935fde20e26e448d90ca15034cb17,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),STEGER,60475,39,21,15,3,35,26,50541.46,33,22,39074.64,27,9,11466.82,4d0b59f142e6151d05432714ee1e1df0,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),TINLEY PARK,60487,9,3,5,1,9,5,7146.25,9,5,7146.25,7,0,0,50ffc1b34efa965ef7d50b8c4e3ac47f,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60290,4,4,0,0,3,3,3263.6,3,3,2301.51,3,1,962.09,569002cbfdf5b87c320d501ec10a559b,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),BELLWOOD,60104,2063,1,712,68,1992,1521,5124214.62,1938,1361,4131456.7,1522,676,992757.92,4f50ee6678acf31a537bb20dff10e093,2015-03-02T19:03:16 +00:00
4116,Flood,IL,Cook (County),BUFFALO GROVE,60089,6,2,3,1,6,3,9604.77,6,2,9176.17,4,2,428.6,26b7d01baff3312f554f1d504ab8af9c,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60615,231,124,83,24,213,108,297918.49,198,77,226320.32,176,68,71598.17,2d8132ba442b2a4e4714a5d2e1c4efa1,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60625,217,100,117,0,203,146,541258.13,193,128,387868.34,167,66,153389.79,76b2401554c072e2a611bf421625b438,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60637,930,553,306,71,885,499,1124564.1,835,338,874961.65,744,275,249602.45,1e28cd11843957b976846e942f3e9b84,2015-03-02T19:03:16 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60647,104,50,48,6,93,64,210084.37,86,53,147806.73,73,35,62277.64,129428c6918bfa0fd3dc22ffc00712fe,2015-03-02T19:03:16 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60660,15,6,7,2,13,2,4541.18,12,2,3712.07,9,1,829.11,f28ba24786ecc069bef33f40dab83a9a,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CHIHAGO,60624,1,0,1,0,1,0,0,1,0,0,1,0,0,c3d3cf01d6c18ddbd2868de9fd4ae91c,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),DESPLAINES,60018,1,0,1,0,1,1,5598.85,1,1,5598.85,1,0,0,e59180608ff3adf172247277010f88e4,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),EVANSTON,60202,111,49,58,4,104,74,123876.02,97,68,113520.14,79,16,10355.88,1611b66eeb9da1c6edb4c8292fe12b4d,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),GLENCOE,60022,9,3,6,0,9,7,21510.07,9,7,21210.46,8,1,299.61,301642bb7b733cf74634e1d0e165f15a,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),HAZEL CREST,60429,783,449,296,38,764,497,1465507.17,737,444,1331817.47,577,149,133689.7,0ecda78996b3029e8017cd3add5bb0ad,2015-03-02T19:03:16 +00:00
4116,Flood,IL,Cook (County),INDIAN HEAD PARK,60525,1,1,0,0,1,0,0,1,0,0,0,0,0,d63266f87eee6cf9970b5f9769e4e538,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),LEMONT,60439,10,3,7,0,9,4,13387.85,8,4,13387.85,6,0,0,72de228b1400232f9c96b19b3e7c3956,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),MC COOK,60525,6,4,2,0,2,1,620,1,0,0,1,1,620,cc317216644d294240079354853b56ad,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),NORTHBROOK,60062,28,10,18,0,28,17,52796.61,28,17,50897.66,20,2,1898.95,84b0faddaa7da667186f89fd699f26c0,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),OAKPARK,60304,1,0,1,0,1,1,833.67,1,1,833.67,1,0,0,f6e8d84da350c5a4b626c89a8968d431,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),PARK FOREST,60466,565,258,270,37,542,330,951985.83,522,292,869904.48,421,107,82081.35,94f32a89e4db0246b1052cd7080ebdce,2015-03-02T19:03:16 +00:00
4116,Flood,IL,Cook (County),RIVERSIDE,60546,179,74,99,6,165,115,370493.28,160,107,299732.64,119,35,70760.64,4152304185d7f50c7428f588abfe9e93,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),S CHICAGO HTS,60411,2,2,0,0,1,1,654.01,1,0,0,1,1,654.01,50b8f4d06feb67379efc6499284717f7,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),UNIVERSITY PARK,60484,9,6,2,1,9,5,11595.88,9,4,11230.97,8,2,364.91,534ffe7d582f699337bac785d74966a1,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),STICKNEY,60402,31,8,20,3,29,24,50904.48,26,22,44204.05,21,6,6700.43,2ca41c8fb6f24252610de92045ac50e9,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),BENSENVILLE,60106,2,0,2,0,1,0,0,1,0,0,1,0,0,ef5093970e3403880f2ef1bdc3555e84,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),BURBANK,60459,83,37,40,6,80,54,222953.85,78,52,199318.66,55,11,23635.19,c7cbb2c4f9686a98047831dfe76432f9,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60604,1,0,1,0,0,0,0,0,0,0,0,0,0,9097b4ee339d160f0c18d55d7da544ce,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60616,52,29,20,3,49,27,50305.25,43,21,34336.11,39,10,15969.14,4d52303055cddbee222237adb5e6011f,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60626,62,33,24,5,57,35,60253.13,52,21,42848.62,46,22,17404.51,25359318fd8030fb8ae5c991e584a812,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60638,254,125,116,13,244,170,296697.06,235,153,252489.35,185,51,44207.71,703dde59fb94d8724dafb7e580de1af9,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60649,868,521,292,55,820,326,647843.53,769,256,549439.15,623,125,98404.38,d7751b872e8a71ba45ab3ca3f0a1b3f6,2015-03-02T19:03:16 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60661,2,1,0,1,1,1,4965,0,0,0,1,1,4965,955bff8c7a0532f615a49d150f15a270,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CHUCAGO,60630,1,0,1,0,1,1,989.18,1,1,989.18,1,0,0,0d9d29db5b65c06373a7ba129722504b,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),DES PLAINES APT GS,60016,1,0,0,1,1,1,9006.02,1,1,1932,1,1,7074.02,0893df0205d0f2186ac0812342baf78b,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),EVANSTON,60203,48,8,37,3,45,31,106021.74,44,31,102439.45,37,5,3582.29,639bafb89a25e1a7613b3ab7e364d15b,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),GLENVIEW,60025,245,66,176,3,240,173,661984.58,235,170,649233.71,187,27,12750.87,a873f177815a1ab1c83bc7788dd7d80c,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),HAZELCREST,60429,1,0,1,0,1,1,865.51,1,1,865.51,1,0,0,30307df6fc72e9f6ca59f2b814b7536a,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),INVERNESS,60067,2,1,1,0,2,2,3370.67,2,2,3370.67,1,0,0,20a5e8ba3fa27f0941626db9b33263a0,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),LINCOLNWOOD,60712,222,90,126,6,214,176,566272.73,208,168,524388.41,165,46,41884.32,44fb80a5a60b4c4ac13c23678f8cf694,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),MELROSE PARK,60160,536,283,231,22,516,395,1141988.68,500,346,938966.83,415,146,203021.85,e80a730ecb9ca4ea35456d6bfc223249,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),NORTHFIELD,60093,15,2,12,1,14,5,18918.1,14,4,18598.12,11,2,319.98,fb9ed85c31fa4fac7f1b2ee9cbcf6101,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),OLYMPIA FIELDS,60461,143,69,69,5,142,99,269878.63,141,98,261041.63,100,13,8837,cebccb906aa43a8ee84f82aa11b1b087,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),PARK RIDGE,60068,736,226,489,21,701,526,1225399.77,682,514,1160590.48,506,82,64809.29,dfb44cf6cacec2c0093f4b859acaddce,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),ROBBINS,60472,235,169,58,8,223,128,388340.43,218,106,347613.92,168,46,40726.51,08b860b05862b5b642fd5a65bd05392a,2015-03-02T19:03:16 +00:00
4116,Flood,IL,Cook (County),SCHILLER PARK,60176,146,63,76,7,139,109,237579.28,135,100,207661.27,96,26,29918.01,60aa183ebcc8cc5341adc0cb72382ebf,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),STONE PARK,60165,170,125,40,5,161,98,503453.1,156,91,303804.17,116,45,199648.93,e937d66bafbdf7b57365eb3930b57b08,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),WESTCHESTER,60154,666,272,380,14,638,427,1096291.46,616,393,986859.66,456,111,109431.8,e972f9596dbec486c5db2d149a921bcb,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),ADDISON,60101,2,1,1,0,2,2,6816.23,2,2,6816.23,1,0,0,0ab9ec2ffe93fd1b76e3657a5f8fa1d6,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),BERKELEY,60163,293,138,142,13,277,228,704949.61,268,218,642718.57,212,64,62231.04,831c88d9a375eb81e74be807c1048cf6,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),BURNHAM,60633,127,33,77,17,122,75,210399.05,118,68,186806.38,96,29,23592.67,7cdebb7736909f24a1ae171477352e96,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60605,3,2,1,0,3,1,149.88,3,1,149.88,1,0,0,3654a75394b9fbb0a78bedc9b6342049,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60617,2953,1,988,128,2871,1771,3534339.21,2778,1557,2975514.79,2104,619,558824.42,0b3e7ff8a8189a49b829ff73cea359d5,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60628,5604,3,1,264,5452,3743,7305846.45,5307,3220,6236544.88,4209,1413,1069301.57,2a642b0f8cdeb39cc55cfb6850f95976,2015-03-02T19:03:16 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60639,679,430,209,40,666,499,1614664.74,651,424,1188153.55,521,258,426511.19,e80b4a673493d3d548542fe1b5054591,2015-03-02T19:03:16 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60651,2020,1,530,100,1969,1253,3081699.93,1894,1010,2310203.87,1567,593,771496.06,bee1b9826f2e13297fb83c3ea712a339,2015-03-02T19:03:16 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60666,1,1,0,0,1,0,0,0,0,0,1,0,0,ede2e3388939f43e90c3a4cff89d4b3c,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CICERO,60804,475,261,183,31,465,356,1006064.98,452,320,754138.4,349,151,251926.58,6ce4a04db68c9393611cb8bda6cb8531,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),EVANSTON ,60202,1,0,0,1,1,1,1142.46,1,0,0,1,1,1142.46,21e49dd7f8470b2f5496e523974a88fc,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),DIXMOOR,60426,140,91,43,6,133,79,254521.67,131,62,218443.67,108,34,36078,15a1031532f5c31ecad27d2663b4e391,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),GLENVIEW,60026,13,3,10,0,11,8,26574.58,11,8,26574.58,8,0,0,b9893b186de934ff088dd77b8db064d3,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),HICKORY HILLS,60457,19,9,10,0,19,9,16580.37,16,7,13246.11,13,3,3334.26,91063c9aa31fec4e42f3e49f8dfaa7f0,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),JUSTICE,60458,40,19,13,8,32,11,12504.04,26,4,7486.96,27,7,5017.08,0fa31d6c8016141739ac61ac491832ff,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),LYNWOOD,60411,285,143,123,19,279,174,558168.96,272,165,538447.57,205,25,19721.39,5e8bfe86d8eb2c3e93da15dc4e669676,2015-03-02T19:03:16 +00:00
4116,Flood,IL,Cook (County),MELROSE PARK,60164,174,96,76,2,168,130,595217.78,162,119,541247.69,125,38,53970.09,0e15c4c6d833d0aaf168467637a697b0,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),NORTHLAKE,60164,144,64,75,5,130,85,328306.72,125,76,287478.14,97,24,40828.58,de0815209534dea501c07f867c0e20e4,2015-03-02T19:03:16 +00:00
4116,Flood,IL,Cook (County),ORLAND HILLS,60487,10,4,4,2,9,5,42574.24,9,5,41952.07,7,1,622.17,633081bb3a4ff96ccc713614bfbe6a78,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),PEORIA,61603,1,1,0,0,1,0,0,1,0,0,0,0,0,b2eb9beefaf54e7bae4a2968fff66009,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),ROLLING MEADOWS,60008,6,1,5,0,5,3,8657.91,4,3,7740.41,4,2,917.5,91b7729b3282cc7b188568d613948cd4,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),SCHILLER PK,60176,1,0,1,0,0,0,0,0,0,0,0,0,0,b6523e37bbb0d3d0a6ecdafb7f93657e,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),STREAMWOOD,60107,18,10,7,1,18,7,20368.9,16,7,20296.64,15,1,72.26,41137c76ca3a61ec8eb0aff5e09c040a,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),WESTERN SPRINGS,60558,16,3,13,0,16,10,28723.45,16,10,28379.96,14,1,343.49,518ffb32d39c4ba0749f36e474f9b89f,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),ALSIP,60803,73,34,38,1,70,39,121411.81,66,34,114267.46,57,13,7144.35,5569ba0222e0f14adbcb407041cbe95b,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),BERWYN,60402,420,235,168,17,398,303,1267203.3,384,285,1116889.48,307,115,150313.82,70a46beedd96af57ab1d2c6238e418e3,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),BURR RIDGE,60527,2,1,1,0,2,2,30961.79,2,2,29132.08,2,1,1829.71,28a7b1e3df22189c8d5d8571762fa2bd,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60607,7,3,3,1,5,0,0,3,0,0,4,0,0,bd65073c5f959b06a603fa3bfa0369f5,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60618,144,60,80,4,135,88,201291.2,124,77,163583.24,102,31,37707.96,d11fd5442b03160e7164ce831864d922,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60629,1848,1,646,107,1790,1305,2674887.1,1713,1086,2174515.41,1424,561,500371.69,85e0106f0174d60545bfbbe7e6e2a7bf,2015-03-02T19:03:16 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60640,12,1,9,2,9,1,7697.75,9,1,5933.53,8,1,1764.22,952a0205511dab6f73aaf64de62750bd,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60652,1301,717,518,66,1265,1002,2299844.87,1235,958,2117609.3,885,232,182235.57,4f41a6c7e97f178220fea33fda4d2406,2015-03-02T19:03:16 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60678,1,1,0,0,1,1,509.66,1,1,509.66,1,0,0,d254b166dfa83fbd16442019c642c23d,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),COUNTRYCLUB HILL,60478,1,0,1,0,1,1,2435.36,1,1,2435.36,1,0,0,b19dc1039b8e30c37eae748a7af2c381,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),DOLTON,60419,2010,1,765,109,1944,1234,3101450.84,1881,1126,2812999.81,1450,348,288451.03,86456edbfaa8f3426afefa6b5057cd82,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),EVERGREEN PARK,60805,239,104,118,17,233,161,323354.86,226,153,293816.14,165,28,29538.72,1482992750d3e5e4e3c0b918efbd6ea3,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),GLENWOOD,60425,332,172,139,21,323,215,670397.64,315,195,620985,240,56,49412.64,54b3f776c8c68fb98adb8c358995f4f4,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),HILLSIDE,50162,1,0,1,0,1,0,0,1,0,0,1,0,0,aefa79f020666195dab8d7ae2d789db5,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),KENILWORTH,60043,6,3,3,0,6,5,9331.28,6,5,9331.28,4,0,0,4326caec4a511b660f885bbe6e76c60a,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),LYONS,60534,50,27,21,2,49,34,168846.42,46,32,148329.54,37,14,20516.88,283592fd0a23a1da34458e337efd0f48,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),MERRIONETTE PARK,60803,7,1,5,1,7,5,5899.72,7,5,5600.11,4,1,299.61,b5f92943e72691ed0b3bf28d9e676c61,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),NORTH RIVERSIDE,60546,55,5,48,2,55,45,98626.56,54,42,91992.69,41,10,6633.87,a7c2d719ca625f1691b051f1be4d416d,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),ORLAND PARK,60462,20,8,11,1,19,9,32480.87,18,9,32143.61,17,1,337.26,2e419e13c22485551ff72e6039cd8eb2,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),PHOENIX,60426,148,94,46,8,140,82,225942.83,137,72,200130.8,111,30,25812.03,98f558ddd612308299795e7ba96955f9,2015-03-02T19:03:16 +00:00
4116,Flood,IL,Cook (County),ROSELLE,60172,6,2,4,0,6,2,3061.35,6,2,3061.35,4,0,0,00e3fb9be45ec53d41d5ce6eb68b5bdb,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),SKOKIE,60076,684,223,437,24,652,489,1241471.36,625,461,1098464.12,515,154,143007.24,c57c928000bf646b1e5b41b45109b123,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),SUMMIT,60501,27,2,22,3,25,17,45572.03,23,13,37942.26,18,9,7629.77,be98d9762168295d38857e5142314b23,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),WHEELING,60090,67,47,19,1,64,43,255066.2,61,41,242455.09,43,10,12611.11,718ec7085be318fa6dd41a65d0a6086a,2014-11-23T02:38:03 +00:00
4116,Flood,IL,Cook (County),ARLINGTON HEIGHTS,60004,29,8,20,1,27,15,33529.14,27,15,33529.14,20,0,0,5679d88e1b70fd450f006896c53b8613,2014-11-23T02:38:04 +00:00
4116,Flood,IL,Cook (County),BRIDGEVIEW,60455,21,8,11,2,20,14,71354.52,19,14,68100.46,15,5,3254.06,b0c91a4fd2e5d8a44748556f07b3b857,2014-11-23T02:38:04 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60609,861,603,212,46,838,527,1285594.22,808,379,952630.73,684,334,332963.49,c9bc61d99ae8061c1878669146256acb,2015-03-02T19:03:16 +00:00
4116,Flood,IL,Cook (County),CALUMET CITY ,60409,1,0,1,0,1,0,0,0,0,0,1,0,0,41dfc990d163bebab117fd87d671a732,2014-11-23T02:38:04 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60620,4415,2,1,202,4297,2699,5313449.91,4141,2212,4388605.56,3294,1105,924844.35,0d593b0c4ff0229727b7ceab1ca431af,2015-03-02T19:03:16 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60631,508,133,346,29,489,370,647586.47,472,351,597697.27,363,73,49889.2,ec40dad35d4d743a572c69895a34dd4e,2014-11-23T02:38:04 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60642,18,10,6,2,16,6,13849.14,14,3,10030.5,14,5,3818.64,81885d86940e5100eddb7d2438afa549,2014-11-23T02:38:04 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60654,1,0,1,0,0,0,0,0,0,0,0,0,0,36dab0a2ec246b72e12569a24c12f7e4,2014-11-23T02:38:04 +00:00
4116,Flood,IL,Cook (County),CHICAGO,60803,1,0,1,0,1,1,521.27,1,1,521.27,1,0,0,e1132186604e928fa3a035ad001f4599,2014-11-23T02:38:04 +00:00
4116,Flood,IL,Cook (County),COUNTRYSIDE,60525,17,12,5,0,16,13,40845.94,15,8,20818.17,13,9,20027.77,bd1d5877d07f933994c6914b8af088f8,2014-11-23T02:38:04 +00:00
4116,Flood,IL,Cook (County),ELGIN,60120,18,11,5,2,18,5,8677.69,15,4,8492.35,12,1,185.34,a3e593752ce199429de9bea535697f0a,2014-11-23T02:38:04 +00:00
4116,Flood,IL,Cook (County),FLOSSMOOR,60422,171,66,97,8,169,127,461643.4,164,123,443428.08,125,21,18215.32,665f4d65780ddd338c4c8f6ddf09d5bf,2014-11-23T02:38:04 +00:00
4116,Flood,IL,Cook (County),HARVEY,60426,1760,1,500,95,1701,1065,2562931.85,1653,843,2161839.09,1400,522,401092.76,b6db22e801afb3b9e765b295717ee05f,2015-03-02T19:03:16 +00:00
4116,Flood,IL,Cook (County),HINSDALE,60521,3,1,2,0,3,1,631.39,3,1,631.39,1,0,0,26b7800eeb155aad1c52593b50a0f2ed,2014-11-23T02:38:04 +00:00
4116,Flood,IL,Cook (County),LA GRANGE HIGHLANDS,60525,3,0,3,0,3,1,376.68,3,1,376.68,2,0,0,d491d510d40ba88ce01f732b3be6b21e,2014-11-23T02:38:04 +00:00
4116,Flood,IL,Cook (County),MARKHAM,60428,619,415,185,19,604,353,1126210.07,589,313,1021103.56,469,123,105106.51,9b72cbc2bd96bf70d1e54dcbd0a54039,2015-03-02T19:03:16 +00:00
4116,Flood,IL,Cook (County),MORTON GROVE,60053,312,95,213,4,310,240,723092.01,302,237,694946.71,224,47,28145.3,78c1ea07fb596f78b8e9de33ae756611,2014-11-23T02:38:04 +00:00
4116,Flood,IL,Cook (County),OAK FOREST,60452,69,32,33,4,66,43,121590.72,63,39,115559.72,48,12,6031,23dc17abd9d64e64d641a09fec6e0074,2014-11-23T02:38:04 +00:00
