Outfall Structure,Outfall Location,Tide Gate #,Waterway Reach,Plant,Open date/time,Close date/time,Gate Open Period
DS-M84,Roscoe St (W),TG4,NBCR Lower (NSC Confluence),Stickney,2016-04-28 04:16:00,2016-04-28 07:25:00,0 days 03:08:56.000000000
DS-N08,Mango Ave ext. (Leonard & Miltmore) (W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-28 01:34:00,2016-04-28 07:25:00,0 days 05:51:00.000000000
DS-M79,Logan Blvd (W),TG3,NBCR Lower (NSC Confluence),Stickney,2016-04-28 06:50:00,2016-04-28 07:25:00,0 days 00:35:30.000000000
DS-N05,"Forest Glen Ave (S), West of Cicero",TG1,NBCR Upper (NSC Confluence),Stickney,2016-04-28 01:46:00,2016-04-28 07:25:00,0 days 05:39:26.000000000
DS-M84,Roscoe St (W),TG2,NBCR Lower (NSC Confluence),Stickney,2016-04-28 01:50:00,2016-04-28 07:25:00,0 days 05:35:28.000000000
DS-M15,Kenton Ave (Kostner Ave Ext.) (N),TG2,CSSC Upper (SWRP),Stickney,2016-04-28 01:01:00,2016-04-28 07:26:00,0 days 06:24:28.000000000
DS-M105W,Greenwood St & McCormick Blvd (W),TG1,NSC Upper (NSWRP),Stickney,2016-04-28 01:59:00,2016-04-28 07:26:00,0 days 05:27:16.000000000
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,2016-04-28 01:30:00,2016-04-28 07:45:00,0 days 06:15:00.000000000
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,2016-04-30 00:25:00,2016-04-30 00:27:00,0 days 00:01:48.000000000
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,2016-04-30 15:10:00,2016-04-30 15:12:00,0 days 00:01:08.000000000
DS-M104E,Main St (E),TG1,NSC Upper (NSWRP),Stickney,2016-04-30 19:10:00,2016-04-30 19:12:00,0 days 00:01:32.000000000
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,2016-04-30 15:59:00,2016-04-30 23:16:00,0 days 07:17:36.000000000
DS-M11,"Imhoff Tank Stickney WRP, 54th Ct near Lorel Ave (West Side)",TG2,CSSC Upper (SWRP),Stickney,2016-04-30 20:26:00,2016-04-30 23:59:00,0 days 03:33:34.000000000
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,2016-04-30 17:05:00,2016-04-30 23:59:00,0 days 06:54:59.000000000
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,2016-05-01 00:00:00,2016-05-01 09:50:00,0 days 09:50:00.000000000
TG-NASH,Nashville Ave P.S. (S),TG2,CSSC Lower (SWRP),Stickney,2016-05-01 21:24:00,2016-05-01 21:53:00,0 days 00:29:12.000000000
DS-N05,"Forest Glen Ave (S), West of Cicero",TG1,NBCR Upper (NSC Confluence),Stickney,2016-05-01 21:46:00,2016-05-01 22:10:00,0 days 00:23:56.000000000
DS-M25,Paulina St (N),TG1,SB Chicago R,Stickney,2016-05-01 21:46:00,2016-05-01 22:10:00,0 days 00:24:16.000000000
DS-M97,Pratt Ave (E),TG1,NSC Lower (NSWRP),Stickney,2016-05-01 21:56:00,2016-05-01 22:11:00,0 days 00:14:12.000000000
DS-M97,Pratt Ave (E),TG2,NSC Lower (NSWRP),Stickney,2016-05-01 21:56:00,2016-05-01 22:11:00,0 days 00:14:12.000000000
DS-N02,Foster Ave & Keeler (W),TG1,NBCR Upper (NSC Confluence),Stickney,2016-05-01 20:59:00,2016-05-01 22:15:00,0 days 01:15:12.000000000
DS-M75,Fullerton Ave (E),TG1,NBCR Lower (NSC Confluence),Stickney,2016-05-01 22:10:00,2016-05-01 22:20:00,0 days 00:10:36.000000000
DS-M80,"Leavitt St East Bank (N), Southwest of DS-M80",TG1,NBCR Lower (NSC Confluence),Stickney,2016-05-01 21:45:00,2016-05-01 22:24:00,0 days 00:38:36.000000000
DS-M73,McLean Ave (W),TG1,NBCR Lower (NSC Confluence),Stickney,2016-05-01 21:54:00,2016-05-01 22:28:00,0 days 00:33:12.000000000
DS-M75,Fullerton Ave (E),TG2,NBCR Lower (NSC Confluence),Stickney,2016-05-01 22:09:00,2016-05-01 22:32:00,0 days 00:23:28.000000000
DS-M106E,Lake St (E),TG1,NSC Upper (NSWRP),Stickney,2016-05-01 21:37:00,2016-05-01 22:34:00,0 days 00:56:56.000000000
DS-M114N,Sheridan Rd (Wilmette P.S.) (W),TG1,NSC Upper (NSWRP),Stickney,2016-05-01 21:31:00,2016-05-01 22:42:00,0 days 01:11:12.000000000
DS-M104W,Main St (W),TG1,NSC Upper (NSWRP),Stickney,2016-05-01 21:15:00,2016-05-01 22:44:00,0 days 01:29:16.000000000
DS-M109N,Green Bay Rd & McCormick (W),TG1,NSC Upper (NSWRP),Stickney,2016-05-01 21:45:00,2016-05-01 22:45:00,0 days 01:00:48.000000000
DS-M66,Blackhawk St (W),TG2,NBCR Lower (NSC Confluence),Stickney,2016-05-01 21:55:00,2016-05-01 22:49:00,0 days 00:54:04.000000000
DS-M08,Natchez Ave ext. (S),TG1,CSSC Lower (SWRP),Stickney,2016-05-01 21:23:00,2016-05-01 22:49:00,0 days 01:25:44.000000000
DS-M66,Blackhawk St (W),TG1,NBCR Lower (NSC Confluence),Stickney,2016-05-01 21:54:00,2016-05-01 22:50:00,0 days 00:55:28.000000000
DS-M82,Belmont Ave (W),TG1,NBCR Lower (NSC Confluence),Stickney,2016-05-01 00:11:00,2016-05-01 22:55:00,0 days 22:44:20.000000000
DS-M79,Logan Blvd (W),TG2,NBCR Lower (NSC Confluence),Stickney,2016-05-01 21:12:00,2016-05-01 23:34:00,0 days 02:22:00.000000000
DS-M79,Logan Blvd (W),TG3,NBCR Lower (NSC Confluence),Stickney,2016-05-01 22:13:00,2016-05-01 23:47:00,0 days 01:34:44.000000000
DS-M15,Kenton Ave (Kostner Ave Ext.) (N),TG2,CSSC Upper (SWRP),Stickney,2016-05-01 21:40:00,2016-05-01 23:50:00,0 days 02:10:36.000000000
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,2016-05-01 23:13:00,2016-05-02 01:18:00,0 days 02:05:36.000000000
DS-M84,Roscoe St (W),TG4,NBCR Lower (NSC Confluence),Stickney,2016-05-01 21:24:00,2016-05-02 01:39:00,0 days 04:15:24.000000000
"DS-M27,DS-M28,& DS-M29 (RAPS)",Racine Ave P.S. (S),All,SF SB Chicago R,Pumping Station Racine Avenue,2016-05-01 20:40:00,2016-05-02 10:15:00,0 days 13:35:00.000000000
DS-D27I,1st Ave & Oak St (W),TG2,DesPlaines Middle,Stickney,2016-05-04 02:30:00,2016-05-04 02:33:00,0 days 00:03:06.000000000
DS-D48,40th St. ext. (40th St. & Haas) (E),TG1,DesPlaines Lower,Stickney,2016-05-04 02:31:00,2016-05-04 02:33:00,0 days 00:02:40.000000000
DS-D41,Ogden Ave (Approx. 50' north of the bridge) (E),TG1,DesPlaines Lower,Stickney,2016-05-04 02:43:00,2016-05-04 02:46:00,0 days 00:03:04.000000000
"DS-D47,50,51",Southview Ave and Custer (W),TG2,Salt Cr,Stickney,2016-05-04 03:01:00,2016-05-04 03:09:00,0 days 00:08:00.000000000
DS-D32,Maybrook Dr - C&NW RR (S),TG1,DesPlaines Middle,Stickney,2016-05-04 03:38:00,2016-05-04 03:42:00,0 days 00:03:48.000000000
DS-D31,Washington Blvd (S of Bridge) (W),TG1,DesPlaines Middle,Stickney,2016-05-04 05:08:00,2016-05-04 05:11:00,0 days 00:03:40.000000000
"DS-D44,45",Olmstead Rd (N),TG2,DesPlaines Lower,Stickney,2016-05-04 05:57:00,2016-05-04 05:59:00,0 days 00:02:06.000000000
DS-D35,26th St (West abutement of the bridge) (W),TG1,DesPlaines Middle,Stickney,2016-05-04 05:59:00,2016-05-04 06:01:00,0 days 00:01:44.000000000
DS-D31,Washington Blvd (S of Bridge) (W),TG1,DesPlaines Middle,Stickney,2016-05-04 05:14:00,2016-05-04 06:17:00,0 days 01:03:16.000000000
"DS-D37,38",30th St. and Forest Ave. (W),TG2,Salt Cr,Stickney,2016-05-04 06:04:00,2016-05-04 06:32:00,0 days 00:27:32.000000000
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,2016-05-04 03:30:00,2016-05-04 08:24:00,0 days 04:53:56.000000000
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,2016-05-04 08:25:00,2016-05-04 08:30:00,0 days 00:05:12.000000000
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,2016-05-04 08:31:00,2016-05-04 08:32:00,0 days 00:01:00.000000000
DS-M03,67th St ext. (E),TG1,CSSC Lower (SWRP),Stickney,2016-05-04 08:34:00,2016-05-04 08:35:00,0 days 00:01:12.000000000
